epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4059,0.83359,3.24117,1.20569,0.00339,0.98529,0.29334,0.25261,0.4282,2.96465,0.89297,0.002,0.002,0.002
2,22.5754,0.75562,2.75365,1.18818,1,0.1652,0.58433,0.48778,0.50639,2.62819,0.98352,0.00409959,0.00409959,0.00409959
3,33.0512,0.8138,2.0587,1.16337,0.8573,0.58698,0.84455,0.62976,0.75453,2.13494,1.22913,0.00619877,0.00619877,0.00619877
4,43.3042,0.84405,1.71,1.18331,0.76488,0.44798,0.65434,0.50655,0.71879,2.20812,1.05656,0.00829753,0.00829753,0.00829753
5,53.3658,0.92291,1.69066,1.23994,0.69151,0.26813,0.51098,0.38123,0.8953,2.45605,1.23076,0.00999604,0.00999604,0.00999604
6,63.2399,0.95234,1.68106,1.24529,0.49457,0.43517,0.35738,0.26304,0.80666,2.20419,1.1665,0.00999505,0.00999505,0.00999505
7,73.0156,0.90349,1.5911,1.20352,0.68162,0.68037,0.80944,0.6228,0.78862,1.8594,1.24701,0.00999406,0.00999406,0.00999406
8,83.2069,0.96604,1.52862,1.24469,0.7329,0.67855,0.8272,0.61276,0.86311,1.62408,1.2341,0.00999307,0.00999307,0.00999307
9,93.6234,0.99362,1.43498,1.27733,0.65003,0.82683,0.80332,0.56133,1.03368,1.78388,1.46388,0.00999208,0.00999208,0.00999208
10,103.883,0.98674,1.39871,1.24566,0.80204,0.83701,0.8937,0.67494,0.86005,1.35551,1.28155,0.00999109,0.00999109,0.00999109
11,114.076,1.00194,1.32373,1.25795,0.74594,0.87633,0.82729,0.55573,1.05042,1.68783,1.38725,0.0099901,0.0099901,0.0099901
12,124.301,1.01628,1.21745,1.25149,0.5769,0.73019,0.80894,0.58758,0.89812,2.60697,1.23451,0.00998911,0.00998911,0.00998911
13,134.586,1.0261,1.21923,1.28243,0.90786,0.92051,0.95555,0.67713,0.89718,1.4407,1.22201,0.00998812,0.00998812,0.00998812
14,145.034,0.95727,1.1808,1.23771,0.83932,0.79046,0.8573,0.68308,0.81558,1.41666,1.224,0.00998713,0.00998713,0.00998713
15,155.431,0.9989,1.12668,1.24987,0.86493,0.8716,0.94824,0.67955,0.87982,1.23852,1.26794,0.00998614,0.00998614,0.00998614
16,165.894,0.95764,1.11308,1.23827,0.84194,0.81543,0.89445,0.68908,0.7888,1.40787,1.20845,0.00998515,0.00998515,0.00998515
17,176.681,0.95872,1.05284,1.23527,0.80267,0.8194,0.86858,0.66433,0.81402,1.35435,1.18301,0.00998416,0.00998416,0.00998416
18,187.225,0.95779,1.03903,1.23774,0.7752,0.92063,0.89706,0.67707,0.84689,1.2498,1.20707,0.00998317,0.00998317,0.00998317
19,197.68,0.9358,1.03101,1.18519,0.79492,0.96038,0.9168,0.71408,0.80706,1.05605,1.2442,0.00998218,0.00998218,0.00998218
20,208.28,0.94275,0.94385,1.20356,0.8841,0.95776,0.93173,0.73491,0.75027,0.82045,1.12303,0.00998119,0.00998119,0.00998119
21,218.979,0.94093,0.9984,1.21795,0.58348,0.51678,0.56993,0.41274,1.13782,1.83879,1.60553,0.0099802,0.0099802,0.0099802
22,229.684,0.88656,0.95161,1.20882,0.93336,0.92404,0.97644,0.79487,0.70925,0.73815,1.0994,0.00997921,0.00997921,0.00997921
23,240.465,0.89827,0.94921,1.16775,0.92215,0.88578,0.94076,0.77057,0.67936,0.77528,1.0653,0.00997822,0.00997822,0.00997822
