epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1703.38,1.06315,1.07408,1.15771,0.88424,0.86795,0.90426,0.7237,1.13927,1.07498,1.19691,0.00995941,0.00995941,0.00995941
43,1744.77,1.10741,1.10043,1.17593,0.9244,0.83597,0.90124,0.73112,1.08886,1.06215,1.18769,0.00995842,0.00995842,0.00995842
44,1786.29,1.09771,1.08648,1.16671,0.86507,0.84157,0.8859,0.70625,1.1611,1.09725,1.22217,0.00995743,0.00995743,0.00995743
45,1827.8,1.07921,1.03566,1.16524,0.87773,0.88557,0.9092,0.73889,1.08995,0.96716,1.16842,0.00995644,0.00995644,0.00995644
46,1870.27,1.08389,1.03615,1.15714,0.89858,0.86795,0.90189,0.72715,1.14701,0.97407,1.22262,0.00995545,0.00995545,0.00995545
47,1911.21,1.06195,1.0432,1.15337,0.90266,0.87435,0.89548,0.73258,1.09655,1.14563,1.19879,0.00995446,0.00995446,0.00995446
48,1953.89,1.07748,1.04866,1.15964,0.85464,0.89411,0.90444,0.74096,1.0858,1.03671,1.17819,0.00995347,0.00995347,0.00995347
49,1995.81,1.04634,1.0387,1.15479,0.9067,0.88628,0.91913,0.75159,1.07455,0.99436,1.15297,0.00995248,0.00995248,0.00995248
50,2037.59,1.08755,1.06397,1.16465,0.87557,0.87104,0.89948,0.72975,1.09295,1.05879,1.17138,0.00995149,0.00995149,0.00995149
51,2079.86,1.04793,1.02598,1.15223,0.90841,0.8714,0.90923,0.73437,1.07217,1.03088,1.15935,0.0099505,0.0099505,0.0099505
52,2122.47,1.04522,1.00334,1.14289,0.90019,0.89874,0.91944,0.75665,1.04025,1.00351,1.13663,0.00994951,0.00994951,0.00994951
53,2164.52,1.04265,0.98656,1.14891,0.91173,0.87577,0.91168,0.74592,1.07636,1.04082,1.16822,0.00994852,0.00994852,0.00994852
54,2206.91,1.07229,1.01579,1.14279,0.90399,0.83686,0.90474,0.74938,1.04451,0.99266,1.14918,0.00994753,0.00994753,0.00994753
55,2248.95,1.02205,0.98619,1.1315,0.90877,0.8752,0.90615,0.74576,1.08255,1.03428,1.14721,0.00994654,0.00994654,0.00994654
56,2290.71,1.06584,0.98285,1.14855,0.8899,0.8595,0.89846,0.72971,1.05247,1.05077,1.15859,0.00994555,0.00994555,0.00994555
57,2332.87,1.02538,0.95161,1.13209,0.88703,0.88193,0.90533,0.73092,1.08827,1.04245,1.16708,0.00994456,0.00994456,0.00994456
58,2374.03,1.00714,0.95373,1.12359,0.91842,0.8644,0.91691,0.75253,1.05834,1.04691,1.14636,0.00994357,0.00994357,0.00994357
59,2416.41,1.02359,0.97821,1.13008,0.91615,0.8779,0.91404,0.75877,1.01463,1.00116,1.12655,0.00994258,0.00994258,0.00994258
60,2458.28,1.02152,0.9559,1.12902,0.86339,0.82373,0.88909,0.72688,1.07113,1.01078,1.16909,0.00994159,0.00994159,0.00994159
61,2500.94,1.06618,0.97427,1.14003,0.93263,0.87435,0.92259,0.76066,1.07348,0.90538,1.15984,0.0099406,0.0099406,0.0099406
62,2544.08,1.01662,0.93099,1.12347,0.90633,0.87126,0.906,0.746,1.08136,0.97376,1.16548,0.00993961,0.00993961,0.00993961
63,2585.52,1.01448,0.92585,1.11935,0.88491,0.85632,0.90098,0.75512,1.0567,1.0118,1.15472,0.00993862,0.00993862,0.00993862
64,2627.64,1.00924,0.93309,1.10594,0.91321,0.87961,0.91892,0.74599,1.07345,0.96568,1.15231,0.00993763,0.00993763,0.00993763
65,2669.88,1.03021,0.93714,1.13316,0.92002,0.8812,0.91882,0.75856,1.06204,0.9759,1.14369,0.00993664,0.00993664,0.00993664
66,2712.55,0.99699,0.91111,1.10706,0.92643,0.84906,0.90614,0.73508,1.08699,1.03581,1.16908,0.00993565,0.00993565,0.00993565
67,2755.04,1.01141,0.90701,1.11851,0.90641,0.86529,0.91262,0.73978,1.03471,0.9648,1.12541,0.00993466,0.00993466,0.00993466
68,2797.55,1.01007,0.91246,1.11872,0.90763,0.87293,0.91024,0.73984,1.08147,0.93962,1.16558,0.00993367,0.00993367,0.00993367
69,2840.08,1.03574,0.94351,1.12005,0.88062,0.90155,0.92432,0.76668,1.04683,0.94382,1.12186,0.00993268,0.00993268,0.00993268
70,2882.43,1.00465,0.91087,1.11943,0.92097,0.87861,0.91518,0.75762,1.06263,0.92993,1.13208,0.00993169,0.00993169,0.00993169
71,2925.2,0.99823,0.90319,1.10487,0.90895,0.89543,0.92475,0.77087,1.07114,0.92531,1.14146,0.0099307,0.0099307,0.0099307
72,2967.74,0.99749,0.89198,1.10135,0.89703,0.88216,0.9201,0.76077,1.05045,0.91289,1.14404,0.00992971,0.00992971,0.00992971
73,3010.87,0.98155,0.8817,1.10391,0.91841,0.83532,0.90278,0.74357,1.0748,1.00555,1.15235,0.00992872,0.00992872,0.00992872
74,3053.7,0.98656,0.88624,1.10053,0.91385,0.85919,0.90661,0.74781,1.06166,1.0217,1.13959,0.00992773,0.00992773,0.00992773
75,3096.26,0.99604,0.88239,1.10277,0.93441,0.89195,0.92666,0.75061,1.05936,0.90305,1.12923,0.00992674,0.00992674,0.00992674
76,3139.38,1.0076,0.922,1.11885,0.86911,0.84644,0.9045,0.74619,1.09911,1.08638,1.18234,0.00992575,0.00992575,0.00992575
77,3181.2,0.96524,0.87065,1.09044,0.92414,0.87079,0.91693,0.76473,1.02083,0.98773,1.11439,0.00992476,0.00992476,0.00992476
78,3223.97,0.97024,0.9006,1.08623,0.93533,0.86341,0.91702,0.75186,1.07463,0.90455,1.1692,0.00992377,0.00992377,0.00992377
79,3266.17,0.98552,0.86933,1.0958,0.88655,0.8804,0.91727,0.76463,1.03938,0.97282,1.13771,0.00992278,0.00992278,0.00992278
80,3307.9,0.99204,0.86879,1.09405,0.90991,0.87861,0.91128,0.75052,1.0351,0.9428,1.11301,0.00992179,0.00992179,0.00992179
81,3350.45,0.96868,0.84375,1.08181,0.93369,0.8716,0.91462,0.7613,1.0456,0.96844,1.13026,0.0099208,0.0099208,0.0099208
82,3392.6,0.97197,0.84631,1.09774,0.92458,0.86937,0.91727,0.76762,1.06088,0.93452,1.17352,0.00991981,0.00991981,0.00991981
83,3435.78,0.95041,0.83586,1.08869,0.91491,0.89283,0.92506,0.7704,1.05189,0.8924,1.13721,0.00991882,0.00991882,0.00991882
84,3478.07,0.95859,0.83594,1.08253,0.9087,0.8843,0.91358,0.76168,1.03562,0.95698,1.13976,0.00991783,0.00991783,0.00991783
85,3520.24,0.96773,0.85748,1.0925,0.90205,0.88846,0.91284,0.7415,1.01909,0.94051,1.12559,0.00991684,0.00991684,0.00991684
86,3562.2,0.94472,0.82673,1.07558,0.91978,0.86724,0.90786,0.75818,1.03589,0.99319,1.13462,0.00991585,0.00991585,0.00991585
87,3604.27,0.9769,0.8848,1.0987,0.95457,0.87719,0.92835,0.76245,1.05798,0.93274,1.16022,0.00991486,0.00991486,0.00991486
88,3646.4,0.95892,0.83156,1.08399,0.94579,0.89217,0.92016,0.76122,1.01284,0.86268,1.12941,0.00991387,0.00991387,0.00991387
89,3688.86,0.98728,0.85776,1.08761,0.94267,0.8551,0.91018,0.75641,1.03758,0.97025,1.13879,0.00991288,0.00991288,0.00991288
90,3731.54,0.95071,0.82078,1.08009,0.90861,0.88247,0.90604,0.75041,1.07623,0.9844,1.15652,0.00991189,0.00991189,0.00991189
91,3774.03,0.95147,0.82129,1.07903,0.89396,0.8779,0.90101,0.75078,1.07318,1.01843,1.17083,0.0099109,0.0099109,0.0099109
92,3815.97,0.92963,0.88682,1.06236,0.90986,0.88145,0.91259,0.75591,1.04657,0.95378,1.13455,0.00990991,0.00990991,0.00990991
93,3858.19,0.94513,0.83509,1.07284,0.93081,0.87953,0.91635,0.77123,1.02258,0.9288,1.12204,0.00990892,0.00990892,0.00990892
94,3900.54,0.93712,0.81091,1.0678,0.91145,0.88145,0.91789,0.76519,1.04043,0.89747,1.13481,0.00990793,0.00990793,0.00990793
95,3943.41,0.95518,0.82037,1.07797,0.90173,0.86724,0.91329,0.76416,1.03378,0.90488,1.1065,0.00990694,0.00990694,0.00990694
96,3985.23,0.93584,0.82893,1.07026,0.90847,0.90195,0.93044,0.77874,1.00354,0.84882,1.11421,0.00990595,0.00990595,0.00990595
97,4027.9,0.91746,0.78279,1.06164,0.92065,0.87742,0.92,0.76528,1.04363,0.97671,1.12213,0.00990496,0.00990496,0.00990496
98,4070.02,0.93554,0.81044,1.07627,0.9131,0.86789,0.90398,0.74438,1.05972,0.93268,1.13052,0.00990397,0.00990397,0.00990397
99,4111.96,0.93501,0.81498,1.06793,0.92571,0.88744,0.92026,0.76759,1.04514,0.94676,1.12547,0.00990298,0.00990298,0.00990298
100,4154.37,0.92961,0.78861,1.07038,0.9292,0.87611,0.91859,0.75696,1.02125,0.94228,1.11178,0.00990199,0.00990199,0.00990199
101,4196.23,0.94117,0.84172,1.08484,0.94111,0.86369,0.9188,0.76577,1.05358,1.00851,1.1317,0.009901,0.009901,0.009901
102,4238.26,0.9315,0.78701,1.06966,0.8919,0.89099,0.91929,0.77371,1.02424,0.9705,1.12276,0.00990001,0.00990001,0.00990001
103,4280.1,0.91686,0.79797,1.06589,0.95054,0.86913,0.92637,0.77892,1.01469,0.91731,1.11425,0.00989902,0.00989902,0.00989902
104,4322.5,0.95143,0.82436,1.08081,0.94497,0.87406,0.91694,0.75884,1.04177,0.92646,1.13099,0.00989803,0.00989803,0.00989803
105,4364.67,0.92339,0.78881,1.06636,0.90771,0.87727,0.92292,0.77424,1.00162,0.86577,1.08919,0.00989704,0.00989704,0.00989704
106,4406.63,0.9343,0.77404,1.06076,0.91655,0.8786,0.91433,0.76288,1.02053,0.87595,1.10625,0.00989605,0.00989605,0.00989605
107,4448.75,0.94676,0.7733,1.07813,0.90204,0.86085,0.90498,0.76152,1.02491,0.99433,1.11874,0.00989506,0.00989506,0.00989506
108,4490.83,0.92316,0.78413,1.06249,0.90472,0.88856,0.91517,0.77449,1.0347,0.94046,1.12399,0.00989407,0.00989407,0.00989407
109,4533.11,0.92581,0.77379,1.06468,0.90871,0.88003,0.9151,0.78015,1.00691,0.94351,1.11215,0.00989308,0.00989308,0.00989308
110,4574.98,0.9398,0.78355,1.07353,0.90367,0.87639,0.92171,0.7774,1.02918,0.913,1.11995,0.00989209,0.00989209,0.00989209
111,4617.27,0.92769,0.7825,1.06478,0.94654,0.87339,0.92154,0.77973,1.00307,0.88082,1.09659,0.0098911,0.0098911,0.0098911
112,4659.24,0.90471,0.77018,1.05646,0.90745,0.8805,0.91591,0.75054,1.02415,0.93054,1.1238,0.00989011,0.00989011,0.00989011
113,4701.05,0.88504,0.74229,1.04565,0.91923,0.88373,0.92707,0.7805,1.03435,0.86288,1.11379,0.00988912,0.00988912,0.00988912
114,4742.72,0.91811,0.76378,1.0579,0.95511,0.8846,0.92272,0.77995,1.02558,0.93433,1.12734,0.00988813,0.00988813,0.00988813
115,4784.69,0.9193,0.74581,1.0551,0.95394,0.86696,0.91308,0.78047,1.04746,1.02244,1.14468,0.00988714,0.00988714,0.00988714
116,4826.94,0.89688,0.74829,1.05583,0.92851,0.88785,0.92404,0.78683,1.03367,0.92302,1.10862,0.00988615,0.00988615,0.00988615
117,4868.99,0.90804,0.76388,1.05121,0.92269,0.8738,0.91917,0.77173,1.01626,0.94747,1.10818,0.00988516,0.00988516,0.00988516
118,4911.23,0.8952,0.76257,1.06237,0.93433,0.89339,0.92441,0.78585,0.99926,0.84906,1.10515,0.00988417,0.00988417,0.00988417
119,4953.67,0.9175,0.75888,1.0573,0.85904,0.89013,0.90666,0.77382,1.02473,0.91429,1.13164,0.00988318,0.00988318,0.00988318
120,4995.49,0.90192,0.75456,1.05602,0.91177,0.88283,0.9236,0.78233,0.99043,0.97004,1.11623,0.00988219,0.00988219,0.00988219
121,5037.4,0.88989,0.7248,1.05394,0.92547,0.88324,0.92393,0.78694,1.00187,0.83853,1.09772,0.0098812,0.0098812,0.0098812
122,5079.44,0.90556,0.75177,1.05702,0.90752,0.89122,0.92229,0.77793,1.03082,0.88528,1.11157,0.00988021,0.00988021,0.00988021
123,5121.52,0.88819,0.73606,1.0607,0.93656,0.87668,0.92343,0.78368,1.04026,0.90374,1.11803,0.00987922,0.00987922,0.00987922
124,5163.64,0.88506,0.72727,1.04065,0.93387,0.888,0.92358,0.78861,1.02562,0.92687,1.11791,0.00987823,0.00987823,0.00987823
125,5206.01,0.91467,0.7494,1.0546,0.9059,0.8987,0.92252,0.77624,1.03765,0.92924,1.1336,0.00987724,0.00987724,0.00987724
126,5248.4,0.89928,0.72563,1.04994,0.93666,0.8941,0.9193,0.79084,1.03522,0.88138,1.11645,0.00987625,0.00987625,0.00987625
127,5290.61,0.91567,0.75924,1.05289,0.91814,0.89268,0.92163,0.78416,1.01222,0.86099,1.10632,0.00987526,0.00987526,0.00987526
128,5332.67,0.88518,0.73815,1.0442,0.90303,0.89328,0.92233,0.7764,1.01931,0.85416,1.12032,0.00987427,0.00987427,0.00987427
129,5374.92,0.89197,0.73562,1.0402,0.90577,0.88927,0.92509,0.7847,0.98112,0.85239,1.09365,0.00987328,0.00987328,0.00987328
130,5417.27,0.89333,0.73016,1.03506,0.9242,0.90143,0.92795,0.81104,0.97688,0.83623,1.07254,0.00987229,0.00987229,0.00987229
131,5459.21,0.87507,0.70822,1.02625,0.91388,0.88025,0.91736,0.78158,1.00244,0.98943,1.10993,0.0098713,0.0098713,0.0098713
132,5501.05,0.88551,0.72601,1.04752,0.92791,0.89657,0.92956,0.78894,1.01847,0.84696,1.12474,0.00987031,0.00987031,0.00987031
133,5543.24,0.87502,0.71741,1.03544,0.93321,0.89599,0.92589,0.78108,1.03104,0.92633,1.12601,0.00986932,0.00986932,0.00986932
134,5585.03,0.85167,0.71963,1.03809,0.91735,0.91116,0.92677,0.78687,1.02647,0.85803,1.11504,0.00986833,0.00986833,0.00986833
